module,hyperparameter
ConvTranspose2d,dilation
ConvTranspose2d,~ConvTranspose2d.weight
ConvTranspose2d,~ConvTranspose2d.bias
ConvTranspose3d,in_channels
ConvTranspose3d,out_channels
ConvTranspose3d,kernel_size
ConvTranspose3d,stride
ConvTranspose3d,padding
ConvTranspose3d,output_padding
ConvTranspose3d,groups
ConvTranspose3d,bias
ConvTranspose3d,dilation
ConvTranspose3d,~ConvTranspose3d.weight
ConvTranspose3d,~ConvTranspose3d.bias
LazyConv1d,out_channels
LazyConv1d,kernel_size
LazyConv1d,stride
LazyConv1d,padding
LazyConv1d,padding_mode
LazyConv1d,dilation
LazyConv1d,groups
LazyConv1d,bias
Conv1d,in_channels
Conv1d,out_channels
Conv1d,kernel_size
Conv1d,stride
Conv1d,padding
Conv1d,padding_mode
Conv1d,dilation
Conv1d,groups
Conv1d,bias
Conv1d,~Conv1d.weight
Conv1d,~Conv1d.bias
LazyConv2d,out_channels
LazyConv2d,kernel_size
LazyConv2d,stride
LazyConv2d,padding
LazyConv2d,padding_mode
LazyConv2d,dilation
LazyConv2d,groups
LazyConv2d,bias
Conv2d,in_channels
Conv2d,out_channels
Conv2d,kernel_size
Conv2d,stride
Conv2d,padding
Conv2d,padding_mode
Conv2d,dilation
Conv2d,groups
Conv2d,bias
Conv2d,~Conv2d.weight
Conv2d,~Conv2d.bias
LazyConv3d,out_channels
LazyConv3d,kernel_size
LazyConv3d,stride
LazyConv3d,padding
LazyConv3d,padding_mode
LazyConv3d,dilation
LazyConv3d,groups
LazyConv3d,bias
Conv3d,in_channels
Conv3d,out_channels
Conv3d,kernel_size
Conv3d,stride
Conv3d,padding
Conv3d,padding_mode
Conv3d,dilation
Conv3d,groups
Conv3d,bias
Conv3d,~Conv3d.weight
Conv3d,~Conv3d.bias
LazyConvTranspose1d,out_channels
LazyConvTranspose1d,kernel_size
LazyConvTranspose1d,stride
LazyConvTranspose1d,padding
LazyConvTranspose1d,output_padding
LazyConvTranspose1d,groups
LazyConvTranspose1d,bias
LazyConvTranspose1d,dilation
ConvTranspose1d,in_channels
ConvTranspose1d,out_channels
ConvTranspose1d,kernel_size
ConvTranspose1d,stride
ConvTranspose1d,padding
ConvTranspose1d,output_padding
ConvTranspose1d,groups
ConvTranspose1d,bias
ConvTranspose1d,dilation
ConvTranspose1d,~ConvTranspose1d.weight
ConvTranspose1d,~ConvTranspose1d.bias
LazyConvTranspose2d,out_channels
LazyConvTranspose2d,kernel_size
LazyConvTranspose2d,stride
LazyConvTranspose2d,padding
LazyConvTranspose2d,output_padding
LazyConvTranspose2d,groups
LazyConvTranspose2d,bias
LazyConvTranspose2d,dilation
ConvTranspose2d,in_channels
ConvTranspose2d,out_channels
ConvTranspose2d,kernel_size
ConvTranspose2d,stride
ConvTranspose2d,padding
ConvTranspose2d,output_padding
ConvTranspose2d,groups
ConvTranspose2d,bias
ConvTranspose2d,dilation
ConvTranspose2d,~ConvTranspose2d.weight
ConvTranspose2d,~ConvTranspose2d.bias
LazyConvTranspose3d,out_channels
LazyConvTranspose3d,kernel_size
LazyConvTranspose3d,stride
LazyConvTranspose3d,padding
LazyConvTranspose3d,output_padding
LazyConvTranspose3d,groups
LazyConvTranspose3d,bias
LazyConvTranspose3d,dilation
ConvTranspose3d,in_channels
ConvTranspose3d,out_channels
ConvTranspose3d,kernel_size
ConvTranspose3d,stride
ConvTranspose3d,padding
ConvTranspose3d,output_padding
ConvTranspose3d,groups
ConvTranspose3d,bias
ConvTranspose3d,dilation
ConvTranspose3d,~ConvTranspose3d.weight
ConvTranspose3d,~ConvTranspose3d.bias
Unfold,kernel_size
Unfold,stride
Unfold,padding
Unfold,dilation
Fold,output_size
Fold,kernel_size
Fold,stride
Fold,padding
Fold,dilation
MaxPool1d,kernel_size
MaxPool1d,stride
MaxPool1d,padding
MaxPool1d,dilation
MaxPool1d,return_indices
MaxPool1d,ceil_mode
MaxPool2d,kernel_size
MaxPool2d,stride
MaxPool2d,padding
MaxPool2d,dilation
MaxPool2d,return_indices
MaxPool2d,ceil_mode
MaxPool3d,kernel_size
MaxPool3d,stride
MaxPool3d,padding
MaxPool3d,dilation
MaxPool3d,return_indices
MaxPool3d,ceil_mode
MaxUnpool1d,kernel_size
MaxUnpool1d,stride
MaxUnpool1d,padding
MaxUnpool2d,kernel_size
MaxUnpool2d,stride
MaxUnpool2d,padding
MaxUnpool3d,kernel_size
MaxUnpool3d,stride
MaxUnpool3d,padding
AvgPool1d,kernel_size
AvgPool1d,stride
AvgPool1d,padding
AvgPool1d,ceil_mode
AvgPool1d,count_include_pad
AvgPool2d,kernel_size
AvgPool2d,stride
AvgPool2d,padding
AvgPool2d,ceil_mode
AvgPool2d,count_include_pad
AvgPool2d,divisor_override
AvgPool3d,kernel_size
AvgPool3d,stride
AvgPool3d,padding
AvgPool3d,ceil_mode
AvgPool3d,count_include_pad
AvgPool3d,divisor_override
FractionalMaxPool2d,kernel_size
FractionalMaxPool2d,output_size
FractionalMaxPool2d,output_ratio
FractionalMaxPool2d,return_indices
FractionalMaxPool3d,kernel_size
FractionalMaxPool3d,output_size
FractionalMaxPool3d,output_ratio
FractionalMaxPool3d,return_indices
LPPool1d,kernel_size
LPPool1d,stride
LPPool1d,ceil_mode
LPPool2d,kernel_size
LPPool2d,stride
LPPool2d,ceil_mode
AdaptiveMaxPool1d,output_size
AdaptiveMaxPool1d,return_indices
AdaptiveMaxPool2d,output_size
AdaptiveMaxPool2d,return_indices
AdaptiveMaxPool3d,output_size
AdaptiveMaxPool3d,return_indices
AdaptiveAvgPool1d,output_size
AdaptiveAvgPool2d,output_size
AdaptiveAvgPool3d,output_size
ReflectionPad1d,padding
ReflectionPad2d,padding
ReflectionPad3d,padding
ReplicationPad1d,padding
ReplicationPad2d,padding
ReplicationPad3d,padding
ZeroPad2d,padding
ConstantPad1d,padding
ConstantPad2d,padding
ConstantPad3d,padding
ELU,alpha
ELU,inplace
Hardshrink,lambd
Hardsigmoid,inplace
Hardtanh,min_val
Hardtanh,max_val
Hardtanh,inplace
Hardswish,inplace
LeakyReLU,negative_slope
LeakyReLU,inplace
MultiheadAttention,embed_dim
MultiheadAttention,num_heads
MultiheadAttention,dropout
MultiheadAttention,bias
MultiheadAttention,add_bias_kv
MultiheadAttention,add_zero_attn
MultiheadAttention,kdim
MultiheadAttention,vdim
MultiheadAttention,batch_first
MultiheadAttention,query
MultiheadAttention,key
MultiheadAttention,value
MultiheadAttention,key_padding_mask
MultiheadAttention,need_weights
MultiheadAttention,attn_mask
MultiheadAttention,average_attn_weights
PReLU,num_parameters
PReLU,init
PReLU,~PReLU.weight
ReLU,inplace
ReLU6,inplace
RReLU,lower
RReLU,upper
RReLU,inplace
SELU,inplace
CELU,alpha
CELU,inplace
GELU,approximate
Softplus,beta
Softplus,threshold
Softshrink,lambd
Threshold,threshold
Threshold,value
Threshold,inplace
GLU,dim
Softmin,dim
Softmax,dim
LogSoftmax,dim
AdaptiveLogSoftmaxWithLoss,in_features
AdaptiveLogSoftmaxWithLoss,n_classes
AdaptiveLogSoftmaxWithLoss,cutoffs
AdaptiveLogSoftmaxWithLoss,div_value
AdaptiveLogSoftmaxWithLoss,head_bias
AdaptiveLogSoftmaxWithLoss,output
AdaptiveLogSoftmaxWithLoss,loss
AdaptiveLogSoftmaxWithLoss,input
AdaptiveLogSoftmaxWithLoss,input
BatchNorm1d,num_features
BatchNorm1d,eps
BatchNorm1d,momentum
BatchNorm1d,affine
BatchNorm1d,track_running_stats
BatchNorm2d,num_features
BatchNorm2d,eps
BatchNorm2d,momentum
BatchNorm2d,affine
BatchNorm2d,track_running_stats
BatchNorm3d,num_features
BatchNorm3d,eps
BatchNorm3d,momentum
BatchNorm3d,affine
BatchNorm3d,track_running_stats
LazyBatchNorm1d,eps
LazyBatchNorm1d,momentum
LazyBatchNorm1d,affine
LazyBatchNorm1d,track_running_stats
BatchNorm1d,num_features
BatchNorm1d,eps
BatchNorm1d,momentum
BatchNorm1d,affine
BatchNorm1d,track_running_stats
LazyBatchNorm2d,eps
LazyBatchNorm2d,momentum
LazyBatchNorm2d,affine
LazyBatchNorm2d,track_running_stats
BatchNorm2d,num_features
BatchNorm2d,eps
BatchNorm2d,momentum
BatchNorm2d,affine
BatchNorm2d,track_running_stats
LazyBatchNorm3d,eps
LazyBatchNorm3d,momentum
LazyBatchNorm3d,affine
LazyBatchNorm3d,track_running_stats
BatchNorm3d,num_features
BatchNorm3d,eps
BatchNorm3d,momentum
BatchNorm3d,affine
BatchNorm3d,track_running_stats
GroupNorm,num_groups
GroupNorm,num_channels
GroupNorm,eps
GroupNorm,affine
SyncBatchNorm,num_features
SyncBatchNorm,eps
SyncBatchNorm,momentum
SyncBatchNorm,affine
SyncBatchNorm,track_running_stats
SyncBatchNorm,process_group
SyncBatchNorm,module
SyncBatchNorm,process_group
InstanceNorm1d,num_features
InstanceNorm1d,eps
InstanceNorm1d,momentum
InstanceNorm1d,affine
InstanceNorm1d,track_running_stats
InstanceNorm2d,num_features
InstanceNorm2d,eps
InstanceNorm2d,momentum
InstanceNorm2d,affine
InstanceNorm2d,track_running_stats
InstanceNorm3d,num_features
InstanceNorm3d,eps
InstanceNorm3d,momentum
InstanceNorm3d,affine
InstanceNorm3d,track_running_stats
LazyInstanceNorm1d,num_features
LazyInstanceNorm1d,eps
LazyInstanceNorm1d,momentum
LazyInstanceNorm1d,affine
LazyInstanceNorm1d,track_running_stats
InstanceNorm1d,num_features
InstanceNorm1d,eps
InstanceNorm1d,momentum
InstanceNorm1d,affine
InstanceNorm1d,track_running_stats
LazyInstanceNorm2d,num_features
LazyInstanceNorm2d,eps
LazyInstanceNorm2d,momentum
LazyInstanceNorm2d,affine
LazyInstanceNorm2d,track_running_stats
InstanceNorm2d,num_features
InstanceNorm2d,eps
InstanceNorm2d,momentum
InstanceNorm2d,affine
InstanceNorm2d,track_running_stats
LazyInstanceNorm3d,num_features
LazyInstanceNorm3d,eps
LazyInstanceNorm3d,momentum
LazyInstanceNorm3d,affine
LazyInstanceNorm3d,track_running_stats
InstanceNorm3d,num_features
InstanceNorm3d,eps
InstanceNorm3d,momentum
InstanceNorm3d,affine
InstanceNorm3d,track_running_stats
LayerNorm,normalized_shape
LayerNorm,eps
LayerNorm,elementwise_affine
LayerNorm,~LayerNorm.weight
LayerNorm,~LayerNorm.bias
LocalResponseNorm,size
LocalResponseNorm,alpha
LocalResponseNorm,beta
LocalResponseNorm,k
RNN,input_size
RNN,hidden_size
RNN,num_layers
RNN,nonlinearity
RNN,bias
RNN,batch_first
RNN,dropout
RNN,bidirectional
RNN,~RNN.weight_ih_l[k]
RNN,~RNN.weight_hh_l[k]
RNN,~RNN.bias_ih_l[k]
RNN,~RNN.bias_hh_l[k]
LSTM,input_size
LSTM,hidden_size
LSTM,num_layers
LSTM,bias
LSTM,batch_first
LSTM,dropout
LSTM,bidirectional
LSTM,proj_size
LSTM,~LSTM.weight_ih_l[k]
LSTM,~LSTM.weight_hh_l[k]
LSTM,~LSTM.bias_ih_l[k]
LSTM,~LSTM.bias_hh_l[k]
LSTM,~LSTM.weight_hr_l[k]
LSTM,~LSTM.weight_ih_l[k]_reverse
LSTM,~LSTM.weight_hh_l[k]_reverse
LSTM,~LSTM.bias_ih_l[k]_reverse
LSTM,~LSTM.bias_hh_l[k]_reverse
LSTM,~LSTM.weight_hr_l[k]_reverse
GRU,input_size
GRU,hidden_size
GRU,num_layers
GRU,bias
GRU,batch_first
GRU,dropout
GRU,bidirectional
GRU,~GRU.weight_ih_l[k]
GRU,~GRU.weight_hh_l[k]
GRU,~GRU.bias_ih_l[k]
GRU,~GRU.bias_hh_l[k]
RNNCell,input_size
RNNCell,hidden_size
RNNCell,bias
RNNCell,nonlinearity
RNNCell,~RNNCell.weight_ih
RNNCell,~RNNCell.weight_hh
RNNCell,~RNNCell.bias_ih
RNNCell,~RNNCell.bias_hh
LSTMCell,input_size
LSTMCell,hidden_size
LSTMCell,bias
LSTMCell,~LSTMCell.weight_ih
LSTMCell,~LSTMCell.weight_hh
LSTMCell,~LSTMCell.bias_ih
LSTMCell,~LSTMCell.bias_hh
GRUCell,input_size
GRUCell,hidden_size
GRUCell,bias
GRUCell,~GRUCell.weight_ih
GRUCell,~GRUCell.weight_hh
GRUCell,~GRUCell.bias_ih
GRUCell,~GRUCell.bias_hh
Transformer,d_model
Transformer,nhead
Transformer,num_encoder_layers
Transformer,num_decoder_layers
Transformer,dim_feedforward
Transformer,dropout
Transformer,activation
Transformer,custom_encoder
Transformer,custom_decoder
Transformer,layer_norm_eps
Transformer,batch_first
Transformer,norm_first
Transformer,src
Transformer,tgt
Transformer,src_mask
Transformer,tgt_mask
Transformer,memory_mask
Transformer,src_key_padding_mask
Transformer,tgt_key_padding_mask
Transformer,memory_key_padding_mask
TransformerEncoder,encoder_layer
TransformerEncoder,num_layers
TransformerEncoder,norm
TransformerEncoder,enable_nested_tensor
TransformerEncoder,src
TransformerEncoder,mask
TransformerEncoder,src_key_padding_mask
TransformerDecoder,decoder_layer
TransformerDecoder,num_layers
TransformerDecoder,norm
TransformerDecoder,tgt
TransformerDecoder,memory
TransformerDecoder,tgt_mask
TransformerDecoder,memory_mask
TransformerDecoder,tgt_key_padding_mask
TransformerDecoder,memory_key_padding_mask
TransformerEncoderLayer,d_model
TransformerEncoderLayer,nhead
TransformerEncoderLayer,dim_feedforward
TransformerEncoderLayer,dropout
TransformerEncoderLayer,activation
TransformerEncoderLayer,layer_norm_eps
TransformerEncoderLayer,batch_first
TransformerEncoderLayer,norm_first
TransformerEncoderLayer,src
TransformerEncoderLayer,src_mask
TransformerEncoderLayer,src_key_padding_mask
TransformerDecoderLayer,d_model
TransformerDecoderLayer,nhead
TransformerDecoderLayer,dim_feedforward
TransformerDecoderLayer,dropout
TransformerDecoderLayer,activation
TransformerDecoderLayer,layer_norm_eps
TransformerDecoderLayer,batch_first
TransformerDecoderLayer,norm_first
TransformerDecoderLayer,tgt
TransformerDecoderLayer,memory
TransformerDecoderLayer,tgt_mask
TransformerDecoderLayer,memory_mask
TransformerDecoderLayer,tgt_key_padding_mask
TransformerDecoderLayer,memory_key_padding_mask
Identity,args
Identity,kwargs
Linear,in_features
Linear,out_features
Linear,bias
Linear,~Linear.weight
Linear,~Linear.bias
Bilinear,in1_features
Bilinear,in2_features
Bilinear,out_features
Bilinear,bias
Bilinear,~Bilinear.weight
Bilinear,~Bilinear.bias
LazyLinear,out_features
LazyLinear,bias
LazyLinear,~LazyLinear.weight
LazyLinear,~LazyLinear.bias
Linear,in_features
Linear,out_features
Linear,bias
Linear,~Linear.weight
Linear,~Linear.bias
Dropout,p
Dropout,inplace
Dropout1d,p
Dropout1d,inplace
Dropout2d,p
Dropout2d,inplace
Dropout3d,p
Dropout3d,inplace
AlphaDropout,p
AlphaDropout,inplace
FeatureAlphaDropout,p
FeatureAlphaDropout,inplace
Embedding,num_embeddings
Embedding,embedding_dim
Embedding,padding_idx
Embedding,max_norm
Embedding,norm_type
Embedding,scale_grad_by_freq
Embedding,sparse
Embedding,~Embedding.weight
Embedding,embeddings
Embedding,freeze
Embedding,padding_idx
Embedding,max_norm
Embedding,norm_type
Embedding,scale_grad_by_freq
Embedding,sparse
EmbeddingBag,num_embeddings
EmbeddingBag,embedding_dim
EmbeddingBag,max_norm
EmbeddingBag,norm_type
EmbeddingBag,scale_grad_by_freq
EmbeddingBag,mode
EmbeddingBag,sparse
EmbeddingBag,include_last_offset
EmbeddingBag,padding_idx
EmbeddingBag,~EmbeddingBag.weight
EmbeddingBag,input
EmbeddingBag,offsets
EmbeddingBag,per_sample_weights
EmbeddingBag,embeddings
EmbeddingBag,freeze
EmbeddingBag,max_norm
EmbeddingBag,norm_type
EmbeddingBag,scale_grad_by_freq
EmbeddingBag,mode
EmbeddingBag,sparse
EmbeddingBag,include_last_offset
EmbeddingBag,padding_idx
CosineSimilarity,dim
CosineSimilarity,eps
PairwiseDistance,p
PairwiseDistance,eps
PairwiseDistance,keepdim
L1Loss,size_average
L1Loss,reduce
L1Loss,reduction
MSELoss,size_average
MSELoss,reduce
MSELoss,reduction
CrossEntropyLoss,weight
CrossEntropyLoss,size_average
CrossEntropyLoss,ignore_index
CrossEntropyLoss,reduce
CrossEntropyLoss,reduction
CrossEntropyLoss,label_smoothing
CTCLoss,blank
CTCLoss,reduction
CTCLoss,zero_infinity
NLLLoss,weight
NLLLoss,size_average
NLLLoss,ignore_index
NLLLoss,reduce
NLLLoss,reduction
PoissonNLLLoss,log_input
PoissonNLLLoss,full
PoissonNLLLoss,size_average
PoissonNLLLoss,eps
PoissonNLLLoss,reduce
PoissonNLLLoss,reduction
GaussianNLLLoss,full
GaussianNLLLoss,eps
GaussianNLLLoss,reduction
KLDivLoss,size_average
KLDivLoss,reduce
KLDivLoss,reduction
KLDivLoss,log_target
BCELoss,weight
BCELoss,size_average
BCELoss,reduce
BCELoss,reduction
BCEWithLogitsLoss,weight
BCEWithLogitsLoss,size_average
BCEWithLogitsLoss,reduce
BCEWithLogitsLoss,reduction
BCEWithLogitsLoss,pos_weight
MarginRankingLoss,margin
MarginRankingLoss,size_average
MarginRankingLoss,reduce
MarginRankingLoss,reduction
HingeEmbeddingLoss,margin
HingeEmbeddingLoss,size_average
HingeEmbeddingLoss,reduce
HingeEmbeddingLoss,reduction
MultiLabelMarginLoss,size_average
MultiLabelMarginLoss,reduce
MultiLabelMarginLoss,reduction
HuberLoss,reduction
HuberLoss,delta
SmoothL1Loss,size_average
SmoothL1Loss,reduce
SmoothL1Loss,reduction
SmoothL1Loss,beta
SoftMarginLoss,size_average
SoftMarginLoss,reduce
SoftMarginLoss,reduction
MultiLabelSoftMarginLoss,weight
MultiLabelSoftMarginLoss,size_average
MultiLabelSoftMarginLoss,reduce
MultiLabelSoftMarginLoss,reduction
CosineEmbeddingLoss,margin
CosineEmbeddingLoss,size_average
CosineEmbeddingLoss,reduce
CosineEmbeddingLoss,reduction
MultiMarginLoss,p
MultiMarginLoss,margin
MultiMarginLoss,weight
MultiMarginLoss,size_average
MultiMarginLoss,reduce
MultiMarginLoss,reduction
TripletMarginLoss,margin
TripletMarginLoss,p
TripletMarginLoss,swap
TripletMarginLoss,size_average
TripletMarginLoss,reduce
TripletMarginLoss,reduction
TripletMarginWithDistanceLoss,distance_function
TripletMarginWithDistanceLoss,margin
TripletMarginWithDistanceLoss,swap
TripletMarginWithDistanceLoss,reduction
PixelShuffle,upscale_factor
PixelUnshuffle,downscale_factor
PixelShuffle,upscale_factor
Upsample,size
Upsample,scale_factor
Upsample,mode
Upsample,align_corners
Upsample,recompute_scale_factor
UpsamplingNearest2d,size
UpsamplingNearest2d,scale_factor
UpsamplingBilinear2d,size
UpsamplingBilinear2d,scale_factor
ChannelShuffle,groups
DataParallel,module
DataParallel,device_ids
DataParallel,output_device
DataParallel,~DataParallel.module
DistributedDataParallel,module
DistributedDataParallel,device_ids
DistributedDataParallel,output_device
DistributedDataParallel,broadcast_buffers
DistributedDataParallel,process_group
DistributedDataParallel,bucket_cap_mb
DistributedDataParallel,find_unused_parameters
DistributedDataParallel,check_reduction
DistributedDataParallel,gradient_as_bucket_view
DistributedDataParallel,static_graph
DistributedDataParallel,~DistributedDataParallel.module
DistributedDataParallel,divide_by_initial_world_size
DistributedDataParallel,enable
DistributedDataParallel,throw_on_early_termination
DistributedDataParallel,kwargs
DistributedDataParallel,state
DistributedDataParallel,hook
torch.nn.utils.clip_grad_norm_,parameters
torch.nn.utils.clip_grad_norm_,max_norm
torch.nn.utils.clip_grad_norm_,norm_type
torch.nn.utils.clip_grad_norm_,error_if_nonfinite
torch.nn.utils.clip_grad_value_,parameters
torch.nn.utils.clip_grad_value_,clip_value
torch.nn.utils.parameters_to_vector,parameters
torch.nn.utils.vector_to_parameters,vec
torch.nn.utils.vector_to_parameters,parameters
BasePruningMethod,module
BasePruningMethod,name
BasePruningMethod,args
BasePruningMethod,importance_scores
BasePruningMethod,kwargs
BasePruningMethod,module
BasePruningMethod,t
BasePruningMethod,to prune.
BasePruningMethod,default_mask
BasePruningMethod,iterations
BasePruningMethod,need to be respected after the new mask is
BasePruningMethod,Same dims as t.
BasePruningMethod,t
BasePruningMethod,importance_scores
BasePruningMethod,default_mask
PruningContainer,method
PruningContainer,module
PruningContainer,name
PruningContainer,args
PruningContainer,importance_scores
PruningContainer,kwargs
PruningContainer,module
PruningContainer,t
PruningContainer,default_mask
PruningContainer,t
PruningContainer,importance_scores
PruningContainer,default_mask
Identity,module
Identity,name
Identity,module
Identity,t
Identity,importance_scores
Identity,default_mask
RandomUnstructured,name
RandomUnstructured,amount
RandomUnstructured,module
RandomUnstructured,name
RandomUnstructured,amount
RandomUnstructured,module
RandomUnstructured,t
RandomUnstructured,importance_scores
RandomUnstructured,default_mask
L1Unstructured,amount
L1Unstructured,module
L1Unstructured,name
L1Unstructured,amount
L1Unstructured,importance_scores
L1Unstructured,module
L1Unstructured,t
L1Unstructured,importance_scores
L1Unstructured,default_mask
RandomStructured,amount
RandomStructured,dim
RandomStructured,module
RandomStructured,name
RandomStructured,amount
RandomStructured,dim
RandomStructured,module
RandomStructured,t
RandomStructured,default_mask
RandomStructured,IndexError
RandomStructured,t
RandomStructured,importance_scores
RandomStructured,default_mask
LnStructured,amount
LnStructured,n
LnStructured,dim
LnStructured,module
LnStructured,name
LnStructured,amount
LnStructured,n
LnStructured,dim
LnStructured,importance_scores
LnStructured,module
LnStructured,t
LnStructured,default_mask
LnStructured,IndexError
LnStructured,t
LnStructured,importance_scores
LnStructured,default_mask
CustomFromMask,module
CustomFromMask,name
CustomFromMask,module
CustomFromMask,t
CustomFromMask,importance_scores
CustomFromMask,default_mask
Identity,module
Identity,name
Identity,module
Identity,t
Identity,importance_scores
Identity,default_mask
torch.nn.utils.prune.random_unstructured,module
torch.nn.utils.prune.random_unstructured,name
torch.nn.utils.prune.random_unstructured,amount
torch.nn.utils.prune.l1_unstructured,module
torch.nn.utils.prune.l1_unstructured,name
torch.nn.utils.prune.l1_unstructured,amount
torch.nn.utils.prune.l1_unstructured,importance_scores
torch.nn.utils.prune.random_structured,module
torch.nn.utils.prune.random_structured,name
torch.nn.utils.prune.random_structured,amount
torch.nn.utils.prune.random_structured,dim
torch.nn.utils.prune.ln_structured,module
torch.nn.utils.prune.ln_structured,name
torch.nn.utils.prune.ln_structured,amount
torch.nn.utils.prune.ln_structured,n
torch.nn.utils.prune.ln_structured,dim
torch.nn.utils.prune.ln_structured,importance_scores
torch.nn.utils.prune.global_unstructured,parameters
torch.nn.utils.prune.global_unstructured,pruning_method
torch.nn.utils.prune.global_unstructured,importance_scores
torch.nn.utils.prune.global_unstructured,kwargs
torch.nn.utils.prune.global_unstructured,TypeError
torch.nn.utils.prune.custom_from_mask,module
torch.nn.utils.prune.custom_from_mask,name
torch.nn.utils.prune.custom_from_mask,mask
torch.nn.utils.prune.remove,module
torch.nn.utils.prune.remove,name
torch.nn.utils.prune.is_pruned,module
torch.nn.utils.weight_norm,module
torch.nn.utils.weight_norm,name
torch.nn.utils.weight_norm,dim
torch.nn.utils.remove_weight_norm,module
torch.nn.utils.remove_weight_norm,name
torch.nn.utils.spectral_norm,module
torch.nn.utils.spectral_norm,name
torch.nn.utils.spectral_norm,n_power_iterations
torch.nn.utils.spectral_norm,eps
torch.nn.utils.spectral_norm,dim
torch.nn.utils.remove_spectral_norm,module
torch.nn.utils.remove_spectral_norm,name
torch.nn.utils.skip_init,module_cls
torch.nn.utils.skip_init,args
torch.nn.utils.skip_init,kwargs
torch.nn.utils.parametrizations.orthogonal,module
torch.nn.utils.parametrizations.orthogonal,name
torch.nn.utils.parametrizations.orthogonal,orthogonal_map
torch.nn.utils.parametrizations.orthogonal,use_trivialization
torch.nn.utils.parametrizations.spectral_norm,module
torch.nn.utils.parametrizations.spectral_norm,name
torch.nn.utils.parametrizations.spectral_norm,n_power_iterations
torch.nn.utils.parametrizations.spectral_norm,eps
torch.nn.utils.parametrizations.spectral_norm,dim
torch.nn.utils.parametrize.register_parametrization,module
torch.nn.utils.parametrize.register_parametrization,tensor_name
torch.nn.utils.parametrize.register_parametrization,parametrization
torch.nn.utils.parametrize.register_parametrization,unsafe
torch.nn.utils.parametrize.register_parametrization,ValueError
torch.nn.utils.parametrize.remove_parametrizations,module
torch.nn.utils.parametrize.remove_parametrizations,tensor_name
torch.nn.utils.parametrize.remove_parametrizations,leave_parametrized
torch.nn.utils.parametrize.remove_parametrizations,ValueError
torch.nn.utils.parametrize.remove_parametrizations,ValueError
torch.nn.utils.parametrize.is_parametrized,module
torch.nn.utils.parametrize.is_parametrized,name
ParametrizationList,modules
ParametrizationList,original
ParametrizationList,unsafe
ParametrizationList,value
torch.nn.utils.stateless.functional_call,module
torch.nn.utils.stateless.functional_call,parameters_and_buffers
torch.nn.utils.stateless.functional_call,args
torch.nn.utils.stateless.functional_call,kwargs
PackedSequence,~PackedSequence.data
PackedSequence,~PackedSequence.batch_sizes
PackedSequence,~PackedSequence.sorted_indices
PackedSequence,~PackedSequence.unsorted_indices
torch.nn.utils.rnn.pack_padded_sequence,input
torch.nn.utils.rnn.pack_padded_sequence,lengths
torch.nn.utils.rnn.pack_padded_sequence,batch_first
torch.nn.utils.rnn.pack_padded_sequence,enforce_sorted
torch.nn.utils.rnn.pad_packed_sequence,sequence
torch.nn.utils.rnn.pad_packed_sequence,batch_first
